dataset_id,column_name,role,nonmissing_count,missing_rate,unique_count,unique_rate_nonmissing,entropy_bits
D1,Age,quasi_identifier,4683,0.0,4,0.0008541533205210335,1.49788034513089
D1,Gender,quasi_identifier,4683,0.0,2,0.00042707666026051675,0.8983469864832138
D1,Marital status,quasi_identifier,4683,0.0,4,0.0008541533205210335,1.2289874145100088
D1,Nationality,other,4683,0.0,1,0.00021353833013025838,-0.0
D1,Region,quasi_identifier,4683,0.0,5,0.001067691650651292,2.034183975030122
D1,Educational level,quasi_identifier,4683,0.0,5,0.001067691650651292,1.2626941859462717
D1,Occupation,quasi_identifier,4683,0.0,5,0.001067691650651292,1.9861858238175871
D1,Family income per month,quasi_identifier,4683,0.0,3,0.0006406149903907751,1.5674572202399968
D1,Weight/kg,quasi_identifier,4683,0.0,155,0.03309844117019005,6.010078374767545
D1,Hight/cm,quasi_identifier,4683,0.0,68,0.01452060644885757,5.049212169548803
D1,BMI,sensitive,4683,0.0,1765,0.37689515267990603,10.28290939206472
D1,Do you smoke?,sensitive;quasi_identifier,4683,0.0,3,0.0006406149903907751,0.7952787757571127
D1,Do you have chronic diseases?,sensitive,4683,0.0,39,0.008327994875080076,1.1606234767310042
D1,Q 1,item_level,4683,0.0,4,0.0008541533205210335,1.345574754594799
D1,Q 2,item_level,4683,0.0,4,0.0008541533205210335,1.2497358285401585
D1,Q 3,item_level,4683,0.0,4,0.0008541533205210335,1.0836536046427037
D1,Q 4,item_level,4683,0.0,4,0.0008541533205210335,1.3915455297288437
D1,Q 5,item_level,4683,0.0,4,0.0008541533205210335,1.4369458136832618
D1,Q 6,item_level,4683,0.0,4,0.0008541533205210335,1.2864203539757058
D1,Q 7,item_level,4683,0.0,4,0.0008541533205210335,1.2097270339318809
D1,Q 8,item_level,4683,0.0,4,0.0008541533205210335,1.4910982312479368
D1,Q 9,item_level,4683,0.0,4,0.0008541533205210335,0.6749827457618928
D1,Q 10,item_level,4683,0.0,4,0.0008541533205210335,1.343617078009601
D1,Q 11,item_level,4683,0.0,4,0.0008541533205210335,1.4845799995849993
D1,Q 12,item_level,4683,0.0,4,0.0008541533205210335,1.6835126552163668
D1,Q 13,item_level,4683,0.0,4,0.0008541533205210335,1.4575819421427947
D1,Q 14,item_level,4683,0.0,4,0.0008541533205210335,1.21656041326251
D1,Q 15,item_level,4683,0.0,4,0.0008541533205210335,1.4830401030506002
D1,Q 16,item_level,4683,0.0,4,0.0008541533205210335,1.483874402508802
D1,Q 17,item_level,4683,0.0,4,0.0008541533205210335,1.5855024210503057
D1,Q 18,item_level,4683,0.0,4,0.0008541533205210335,1.2980089489103057
D1,Q 19,item_level,4683,0.0,4,0.0008541533205210335,1.4567497135128014
D1,Q 20,item_level,4683,0.0,4,0.0008541533205210335,1.3733434499871675
D1,Q 21,item_level,4683,0.0,4,0.0008541533205210335,1.466825633512072
D1,Depression score,sensitive,4683,0.0,59,0.012598761477685244,4.958215934417229
D2,Timestamp,structural_identifier,513,0.0,513,1.0,9.002815015607055
D2,Do you agree to participate in the survey?,other,513,0.0,2,0.003898635477582846,0.051791350304557005
D2,Researcher's number,structural_identifier,513,0.0,4,0.007797270955165692,1.737589163286668
D2,Age,quasi_identifier,513,0.0,4,0.007797270955165692,1.981208617936675
D2,Sex,quasi_identifier,513,0.0,2,0.003898635477582846,0.7498561696334021
D2,Weight,quasi_identifier,513,0.0,4,0.007797270955165692,1.6938867388799608
D2,Height,quasi_identifier,513,0.0,4,0.007797270955165692,0.957535354195723
D2,Marital status,quasi_identifier,513,0.0,4,0.007797270955165692,1.1900815612563542
D2,Educational status,quasi_identifier,513,0.0,5,0.009746588693957114,0.9458265925645256
D2,Job status,quasi_identifier,513,0.0,5,0.009746588693957114,1.9719542761185322
D2,Do you have health insurance?,quasi_identifier,513,0.0,2,0.003898635477582846,0.7847791991145501
D2,monthly income,quasi_identifier,513,0.0,3,0.005847953216374269,1.5482506869737447
D2,Do you suffer from any chronic illness?,sensitive,513,0.0,24,0.04678362573099415,1.5883421421097714
D2,City,quasi_identifier,513,0.0,4,0.007797270955165692,0.9159663750197501
D2,Did you know that it is possible to use some diabetes medications for weight loss?,other,513,0.0,3,0.005847953216374269,1.118465888983799
D2,"If the answer is yes, which of these medications can be used? More than one answer can be selected.",other,513,0.0,43,0.08382066276803118,3.8644742797263607
D2,"Which of the following medications is approved for weight loss by regulatory bodies, such as the U.S. Food and Drug Administration (FDA)? You can select more than one answer.",other,513,0.0,40,0.07797270955165692,3.435251289839427
D2,What are the side effects of these medications? You can choose more than one.,other,513,0.0,139,0.2709551656920078,5.145919328598141
D2,What is the source of your information regarding the effectiveness of these medications in weight loss?,other,513,0.0,15,0.029239766081871343,2.65769911420509
D2,There is sufficient oversight from the relevant authorities regarding the dispensing of diabetes medications used for weight loss.,other,513,0.0,5,0.009746588693957114,1.8864299565220548
D2,"These medications can be used for weight loss, but only under medical supervision.",item_level,513,0.0,5,0.009746588693957114,1.5431174164279156
D2,Using these medications is the first and best option for weight loss.,other,513,0.0,5,0.009746588693957114,2.2446941749392453
D2,These medications help you make the necessary lifestyle changes to lose weight and improve your health.,item_level,513,0.0,5,0.009746588693957114,2.0387848607785055
D2,These medications are considered safe and can be used without complications.,item_level,513,0.0,5,0.009746588693957114,2.1631914357076454
D2,The effectiveness of these medications in weight loss is guaranteed.,other,513,0.0,5,0.009746588693957114,2.0384215120969507
D2,The long-lasting effectiveness of these drugs,other,513,0.0,5,0.009746588693957114,2.0669003443462852
D2,Have you used any weight loss medications in the past twelve months?,sensitive,513,0.0,2,0.003898635477582846,0.6385826605870488
D2,Which of the following diabetes medications did you use to lose weight?,other,513,0.0,5,0.009746588693957114,1.3626409629159302
D2,What other methods do you usually use to lose weight besides diabetes medication?,other,513,0.0,25,0.04873294346978557,2.746286129890507
D2,Where do you get these medicines?,other,513,0.0,5,0.009746588693957114,2.0695135156297075
D2,Have you had difficulty obtaining these medications recently?,other,513,0.0,3,0.005847953216374269,1.2082365479368167
D2,"If you have previously used these medications, how much weight (kg) did you lose?",other,513,0.0,92,0.1793372319688109,3.7297033574623706
D2,Do you check the source of these medicines when you buy them?,other,513,0.0,3,0.005847953216374269,1.3378871470658673
D2,Did you consult a doctor before using these medications?,other,513,0.0,3,0.005847953216374269,1.4324833412349296
D2,Did you regain your weight after stopping using it?,other,513,0.0,3,0.005847953216374269,1.4796390008280202
D2,Have you experienced any side effects when using these medications?,sensitive,513,0.0,3,0.005847953216374269,1.482367114368371
D2,Do you read the medical information about products used for weight loss?,other,513,0.0,3,0.005847953216374269,1.3339158433757619
D2,"Any comments, suggestions, or weight loss experiences?",free_text,163,0.6822612085769981,104,0.6380368098159509,2.763096926051211
D3,ID,structural_identifier,348,0.0,348,1.0,8.44294349584873
D3,Age,quasi_identifier,348,0.0,45,0.12931034482758622,4.821664289771087
